سريال تعرفه,كد ملي دارو,قيمت,از تاريخ تاثير قيمت,نام ژنريك,نام تجاري,شكل دارو,بيمارستاني يا تخصص,بيمارستاني,تاريخ تغيير قيمت,نيازمند کميسيون,گروه خدمت,ستاره دار,مجوز تجويز عمومي,مجوز تجويز ماما,بيمه اي,داروخانه مجاز به تاييد,استعلام اصالت,ويژگي,جنسيت مجاز,تعداد در نسخه
1224723,00311 ,86000,1401/04/23,CLINDAMYCIN PHOSPHATE_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1292949,00319 ,8671,1401/04/23,CLOMIPHENE CITRATE 50MG,,tablet,نمي باشد,نمي باشد,1401/06/01,مي باشد,عادي (پايه 90%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1711644,00338 ,67000,1403/04/16,CO-AMOXICLAV 625 (500/125),,tablet,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,80
1666096,00341 ,112100,1402/09/20,CO-TRIMOXAZOLE (400/80)MG/5ML,,ampoule,نمي باشد,مي باشد,1402/09/22,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,40
1231683,00351 ,15600,1401/04/23,COLLODION_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1229799,00362 ,1620,1401/04/23,CREAM BASE_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1668532,00368 ,619000,1402/10/13,CYCLOPHOSPHAMIDE 200MG,,vial,نمي باشد,نمي باشد,1402/10/16,مي باشد,ويژه(پايه90%-بيماران خاص10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1690256,00383 ,2800,1403/01/18,DAPSONE 100MG,,tablet,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1654758,00399 ,87200,1402/08/20,DEXAMETHASONE PHOSPHATE DISODIUM 0.1% OPH,,drop ophtalmic,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1654174,00413 ,400000,1402/08/20,SERUM DEXTROSE 5% 1000ML,,infusion,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,5
1687608,00459 ,64100,1403/01/18,DIPYRIDAMOLE 10MG/2ML,,ampoule,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1202582,00460 ,6193,1401/04/23,DIPYRIDAMOLE 25MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1220507,00486 ,60000,1401/04/23,EPHEDRINE HCL OR SULFATE 50MG /ML,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز دارد,,هر دو,10
1682588,01004 ,68400,1403/01/07,VITAMIN K1 (PHYTOMENADIONE) 1MG/0.5ML,,ampoule,نمي باشد,نمي باشد,1403/01/07,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1217299,01041 ,59000,1401/04/23,PRAZIQUANTEL 600MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1667984,01042 ,3220,1402/10/13,PRAZOSIN 1MG,,tablet,نمي باشد,نمي باشد,1402/10/16,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1691588,01046 ,154100,1403/01/18,PREDNISOLONE ACETATE MICROFINE 1% OPH,,drop ophtalmic,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,5
1239343,01050 ,700,1401/04/23,PRIMAQUINE PHOSPHATE 15MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1493086,00550 ,729300,1402/05/01,FLUOROURACIL 50MG/ML 5ML,,ampoule,نمي باشد,نمي باشد,1402/05/03,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1493518,00572 ,10100,1402/05/01,GABAPENTIN 100,,capsule,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1493192,01088 ,255000,1402/05/01,QUINIDINE SULFATE 200MG,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,300
1230864,01098 ,1200000,1401/04/23,ANTI- D IMMUNE GLOBULIN 250 MCG,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,2
1217115,00604 ,988000,1401/04/23,GONADORELIN HCL 0.1MG,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1437508,00631 ,17000,1401/12/22,HYDRALAZINE HCL 10MG,,tablet,نمي باشد,نمي باشد,1401/12/21,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1436804,00634 ,26000,1401/12/22,HYDRALAZINE HCL 50MG,,tablet,نمي باشد,نمي باشد,1401/12/21,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1493602,00636 ,2900,1402/05/01,HYDROCHLOROTHIAZIDE 50MG,,tablet sc,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1455371,00666 ,4780,1402/03/01,IMIPRAMINE HCL 50MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1698177,00843 ,264600,1403/02/30,METRONIDAZOLE 500MG/100ML,,vial,نمي باشد,مي باشد,1403/02/31,مي باشد,عادي(پايه70%-بيماران خاص20%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,30
1493334,00720 ,84100,1402/05/01,ISOTRETINOIN 20MG,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,مشمول يارانه دولت,,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,60
1493196,00728 ,252200,1402/05/01,KETOTIFEN FUMARATE 1MG/5ML 120ML,,syrup,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1711476,00733 ,9420,1403/04/16,LAMOTRIGINE 50MG,,tablet,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1236176,00741 ,800,1401/04/23,LEVAMISOLE 50MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1227235,00744 ,21000,1401/04/23,CARNITINE 1G,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,200
1707455,01309 ,11000,1403/04/13,WARFARIN SODIUM 5MG,,tablet,نمي باشد,نمي باشد,1403/04/13,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1238002,01315 ,500,1401/04/23,ZINC OXIDE,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1438865,01336 ,168100,1402/01/14,CEFOTAXIME 1GR,,vial,نمي باشد,نمي باشد,1402/01/14,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,40
1237646,01338 ,300000,1401/04/23,DESMOPRESSIN ACETATE 4MCG/ML,,ampoule,نمي باشد,مي باشد,1401/04/30,مي باشد,ويژه (پايه 70% - مكمل 30%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,30
1234377,01369 ,150000,1401/04/23,SULFUR %10 100G,,soap,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,3
1236555,01414 ,8100,1401/04/23,BUPRENORPHINE 0.3MG/ML 1ML,,ampoule,نمي باشد,مي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1216399,01427 ,990000,1401/04/23,CHARCOAL ACTIVATED 50GR SUSP,,suspension,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1552384,01453 ,1106000,1402/05/01,CYSTEAMINE BITARTRATE 150MG,,capsule,نمي باشد,نمي باشد,1402/05/22,مي باشد,عادي (پايه 95%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,500
1664115,01491 ,224200,1402/09/11,ERYTHROMYCIN 2% TOP,,gel topical,نمي باشد,نمي باشد,1402/09/11,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز دارد,,هر دو,3
1652462,01574 ,6520,1402/08/20,LORATADINE 10MG,,tablet,نمي باشد,نمي باشد,1402/08/20,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1239859,00863 ,70,1401/04/23,MONO-DI-TRI-CHLOROACETIC ACID_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1223251,00890 ,425000,1401/04/23,NATAMYCIN 5% 15ML OPH,,drop ophtalmic,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,5
1238909,00899 ,1000,1401/04/23,NICOTINIC ACID 25MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,360
1458207,01606 ,35630,1402/03/01,NAPROXEN 500MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1202610,00903 ,1631,1401/04/23,NIFEDIPINE 10MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,360
1436244,00904 ,2109000,1401/12/22,NIMODIPINE 10MG/50ML INFUSION,,infusion,نمي باشد,مي باشد,1401/12/21,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1437520,00905 ,39000,1401/12/22,NIMODIPINE 30MG,,tablet,نمي باشد,نمي باشد,1401/12/21,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1228440,01635 ,97600,1401/04/23,PHENYLEPHRINE HCl 10MG/ML,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1690712,17833 ,392900,1403/01/18,SODIUM BICARBONATE 7.5% 50ML INFUSION,,vial,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1200909,01868 ,5802,1401/04/23,ACETYLCYSTEINE 200MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1454599,01870 ,5500,1402/03/01,RISPERIDONE 4MG,,tablet,نمي باشد,نمي باشد,1402/03/01,مي باشد,ويژه (پايه 70% - مكمل 30%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1470793,01148 ,182200,1402/03/21,SODIUM CHLORIDE 5% 50ML,,vial,نمي باشد,نمي باشد,1402/03/21,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,20
1637065,01166 ,725000,1402/07/22,SPECTINOMYCIN 2HCL 2G,,vial,نمي باشد,نمي باشد,1402/07/22,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,14
1664107,01912 ,7250,1402/09/11,ATORVASTATIN 40MG,,tablet,نمي باشد,نمي باشد,1402/09/11,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1210373,01922 ,12108,1401/04/23,LETROZOLE 2.5MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 70% - مكمل 10% - بيماران خاص 20%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,100
1711672,02032 ,71250,1403/04/16,CEFUROXIME 500MG,,tablet,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي (پايه 90%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,60
1209211,02033 ,10896,1401/04/23,BUPROPION HCI 150MG,,tablet extended R,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1688120,02056 ,189200,1403/01/18,HYDROCORTISONE ACETATE 1%,,cream topical,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1711560,02067 ,5650,1403/04/16,LEVOTHYROXINE SODIUM 0.05MG,,tablet,نمي باشد,نمي باشد,1403/04/16,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,400
1209207,02127 ,12278,1401/04/23,FLUCONAZOLE 100MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1237774,02200 ,8175,1401/04/23,VITAMIN E 200IU,,pearl,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,100
1688844,02238 ,533400,1403/01/18,GLYCINE 1.5% 1LIT SOL IRRIGATION,,solution,نمي باشد,مي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,5
1699433,01169 ,10950,1403/02/30,SPIRONOLACTONE 25MG,,tablet,نمي باشد,نمي باشد,1403/02/31,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1206043,11866 ,340181,1401/04/23,SUCCINYLCHOLINE CHLORIDE 50MG/ML 10ML,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1225263,01185 ,1000,1401/04/23,SULFUR_PERCIPITATED_BULK,,bulk,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,
1493386,01197 ,42750,1402/05/01,TERBINAFINE HCL 250MG,,tablet,نمي باشد,نمي باشد,1402/05/03,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1208820,02333 ,9530,1401/04/23,PANTOPRAZOLE 40MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1229731,02405 ,390,1401/04/23,ALENDRONATE SODIUM 35MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,100
1235349,02421 ,16000,1401/04/23,CEFUROXIME 1.5G,,vial,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,30
1690396,02449 ,411300,1403/01/18,PERMETRIN 5% TOP,,cream topical,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1467521,01275 ,12200,1402/03/21,VALPROATE SODIUM 200MG,,tablet ec,نمي باشد,نمي باشد,1402/03/21,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,400
1717283,01277 ,791000,1403/04/23,VASOPRESSIN 20PRESSOR U/ML,,ampoule,نمي باشد,مي باشد,1403/04/23,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,10
1237508,02467 ,800,1401/04/23,YOHIMBINE HCL 5.4MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,200
1365571,02475 ,6090,1401/09/16,CARVEDILOL 6.25MG,,tablet,نمي باشد,نمي باشد,1401/09/15,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,400
1207305,05934 ,2515,1401/04/23,SERTRALINE AS HCI 25MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,مشمول يارانه دولت,,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1359228,02548 ,34546000,1401/09/06,SEVOFLURAN 250ML,,inhaler,نمي باشد,مي باشد,1401/09/06,مي باشد,مشمول يارانه دولت,,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1217419,01158 ,2181000,1401/04/23,SODIUM THIOSULFATE (HYPOSULFITE) 2.5/10ML,,injection,نمي باشد,مي باشد,1401/04/30,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1206136,06134 ,24573,1401/04/23,ATOMOXETINE 40MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1214156,02959 ,3000,1401/04/23,ARTEMETHER LUMEFANTRINE 20 و 120MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,200
1215306,06243 ,2600000,1401/04/23,PEGINTERFERON ALFA-2B 80MCG,,vial,نمي باشد,نمي باشد,1401/04/30,مي باشد,ويژه (پايه 90% - مكمل 10%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,12
1364307,04795 ,2061000,1401/09/16,SALMETEROL+FLUTICASONE 25/125MIC EVOHALER,,spray,نمي باشد,نمي باشد,1401/09/15,مي باشد,عادي(پايه70%-مكمل 15%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,3
1464090,04904 ,4350,1402/03/07,REPAGLINIDE 1MG,,tablet,نمي باشد,نمي باشد,1402/03/08,مي باشد,عادي(پايه70%-مكمل 15%),,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1209139,04955 ,80573,1401/04/23,GALANTAMIN 8MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1688084,04989 ,210200,1403/01/18,AZITHROMYCIN 200MG/5ML 15ML SUSP,,powder for suspention,نمي باشد,نمي باشد,1403/01/18,مي باشد,عادي(پايه70%-بيماران خاص20%),,دارد,دارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1230029,05170 ,18400,1401/04/23,GRANISETRON HCL 1MG/1ML,,ampoule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
1711484,07198 ,1846800,1403/04/16,HEMODIALYSIS II 5LIT CONC,,solution,نمي باشد,نمي باشد,1403/04/16,مي باشد,ويژه (پايه 100%),,دارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,20
1200898,07239 ,10864,1401/04/23,PREGABALIN 75MG,,capsule,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,300
1208830,06438 ,7102,1401/04/23,RABEPRAZOLE 20MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,مشمول يارانه دولت,,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1201312,06459 ,29070,1401/04/23,NICORANDIL 10MG,,tablet,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي (پايه 90%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,200
1206054,07319 ,170019,1401/04/23,MOMETASON 30G,,ointment,نمي باشد,نمي باشد,1401/04/30,مي باشد,عادي(مكمل 85%),,ندارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,3
1684485,07384 ,126100,1403/01/07,TEMOZOLOMIDE 5MG,,capsule,نمي باشد,نمي باشد,1403/01/07,مي باشد,ويژه(پايه90%-مكمل5%-بيماران خاص5%),,ندارد,ندارد,ميباشد,مي باشد,نياز دارد,,هر دو,200
1227026,07436 ,200000,1401/04/23,ADAPALEN %0.1,,gel,نمي باشد,نمي باشد,1401/04/30,مي باشد,غير بيمه اي (فرانشيز 100%),در تعهد جانباز و عائله - فرزند شهيد (ف-ش),دارد,ندارد,نمي باشد,مي باشد,نياز ندارد,,هر دو,3
1293283,07467 ,42960,1401/06/01,MEDROXYPROGESTERONE ACETATE و ESTRADIOL,,ampoule,نمي باشد,نمي باشد,1401/06/01,مي باشد,مشمول يارانه دولت,,دارد,ندارد,ميباشد,مي باشد,نياز ندارد,,هر دو,10
